model,representation,config,val_accuracy,val_macro_f1,val_weighted_f1,train_seconds
BERT Base,WordPiece,"{'lr': 3e-05, 'batch': 32, 'epochs': 2, 'max_len': 192, 'class_weighted': True}",0.8149,0.7922,0.8164,2343.7
BERT Base,WordPiece,"{'lr': 2e-05, 'batch': 16, 'epochs': 2, 'max_len': 128, 'class_weighted': True}",0.8104,0.7831,0.8113,1628.3
BERT Base,WordPiece,"{'lr': 5e-05, 'batch': 32, 'epochs': 1, 'max_len': 128, 'class_weighted': False}",0.819,0.7716,0.8183,791.7
Bidirectional GRU,word2vec,"{'units': 64, 'dropout': 0.3, 'emb': 'word2vec', 'trainable_emb': False, 'lr': 0.001, 'batch': 64, 'epochs': 8}",0.7638,0.727,0.7648,75.4
Bidirectional GRU,glove,"{'units': 128, 'dropout': 0.5, 'emb': 'glove', 'trainable_emb': True, 'lr': 0.001, 'batch': 64, 'epochs': 8}",0.7146,0.6846,0.7006,57.2
Bidirectional GRU,glove,"{'units': 64, 'dropout': 0.2, 'emb': 'glove', 'trainable_emb': False, 'lr': 0.0005, 'batch': 128, 'epochs': 8}",0.7201,0.6531,0.7223,42.4
Bidirectional LSTM,glove,"{'units': 128, 'dropout': 0.5, 'emb': 'glove', 'trainable_emb': True, 'lr': 0.001, 'batch': 64, 'epochs': 8}",0.7537,0.7189,0.7505,71.2
Bidirectional LSTM,word2vec,"{'units': 64, 'dropout': 0.3, 'emb': 'word2vec', 'trainable_emb': False, 'lr': 0.001, 'batch': 64, 'epochs': 8}",0.7536,0.7125,0.7577,76.9
Bidirectional LSTM,glove,"{'units': 64, 'dropout': 0.2, 'emb': 'glove', 'trainable_emb': False, 'lr': 0.0005, 'batch': 128, 'epochs': 8}",0.674,0.6112,0.6807,38.9
Bidirectional SimpleRNN,word2vec,"{'units': 64, 'dropout': 0.3, 'emb': 'word2vec', 'trainable_emb': False, 'lr': 0.001, 'batch': 64, 'epochs': 8}",0.5647,0.4436,0.544,102.2
Bidirectional SimpleRNN,glove,"{'units': 64, 'dropout': 0.2, 'emb': 'glove', 'trainable_emb': False, 'lr': 0.0005, 'batch': 128, 'epochs': 8}",0.5637,0.4333,0.5535,66.1
Bidirectional SimpleRNN,glove,"{'units': 128, 'dropout': 0.5, 'emb': 'glove', 'trainable_emb': True, 'lr': 0.001, 'batch': 64, 'epochs': 8}",0.524,0.3502,0.4701,112.5
GRU,word2vec,"{'units': 64, 'dropout': 0.3, 'emb': 'word2vec', 'trainable_emb': False, 'lr': 0.001, 'batch': 64, 'epochs': 8}",0.7292,0.6895,0.7254,52.1
GRU,glove,"{'units': 128, 'dropout': 0.5, 'emb': 'glove', 'trainable_emb': True, 'lr': 0.001, 'batch': 64, 'epochs': 8}",0.7151,0.6754,0.7095,43.1
GRU,glove,"{'units': 64, 'dropout': 0.2, 'emb': 'glove', 'trainable_emb': False, 'lr': 0.0005, 'batch': 128, 'epochs': 8}",0.7216,0.6511,0.7234,27.9
LSTM,glove,"{'units': 128, 'dropout': 0.5, 'emb': 'glove', 'trainable_emb': True, 'lr': 0.001, 'batch': 64, 'epochs': 8}",0.7535,0.6966,0.7506,51.0
LSTM,word2vec,"{'units': 64, 'dropout': 0.3, 'emb': 'word2vec', 'trainable_emb': False, 'lr': 0.001, 'batch': 64, 'epochs': 8}",0.7217,0.6664,0.7273,50.4
LSTM,glove,"{'units': 64, 'dropout': 0.2, 'emb': 'glove', 'trainable_emb': False, 'lr': 0.0005, 'batch': 128, 'epochs': 8}",0.6621,0.5784,0.6712,28.6
